country,rev_id,population
Abkhazia,12374479036,0.0
Cape Colony,62691034996,0.0
Carniolan,16522607740,0.0
Chechen,30164416668,0.0
"Congo, Dem. Rep. of",110102418483,0.0
Cook Island,51484157856,0.0
Dagestani,5477085920,0.0
East Timorese,27987395845,0.0
Faroese,56053909669,0.0
Greenlandic,9943773429,0.0
Guernsey,19150364989,0.0
Hondura,145973680199,0.0
Incan,5512576342,0.0
Ivorian,55057160134,0.0
Jersey,47327727282,0.0
Macedonia,50074044114,0.0
Montserratian,20801389324,0.0
Niuean,17038550611,0.0
Omani,18687020900,0.0
Ossetian,7059882836,0.0
Palauan,16406001073,0.0
Pitcairn Islands,32687248393,0.0
Rhodesian,58818946887,0.0
Rojava,1611747522,0.0
Saint Kitts and Nevis,23027379499,0.0
Saint Lucian,36443764480,0.0
Saint Vincent and the Grenadines,16332364071,0.0
Salvadoran,88226914096,0.0
Samoan,58240874529,0.0
Somaliland,3200686385,0.0
South African Republic,11690017673,0.0
South Korean,75986894742,0.0
South Ossetian,13810986328,0.0
Swaziland,24432963084,0.0
Tokelauan,13294338847,0.0
